Место,Раздел,Канал,Хэндл,Ссылка,Автор,Подписчики (примерно),Экспертиза,Практичность,Уникальность,Регулярность,Влияние,Меньше рекламы,Подача,Итог,Уровень,Что искать внутри
13,VI. Брендинг и дизайн,Сосисочная,@sosicka,https://t.me/sosicka,Sostav,≈157 тыс.,8,7,8,10,9,6,9,8.0,A,"Канал Sostav о брендах и креативе: свежие кампании, ребрендинги, кейсы с цифрами."
14,I. Общий маркетинг и стратегия,Тёмная сторона / Темнографика,@temno,https://t.me/temno,Аркадий Морейнис,≈91 тыс.,9,7,9,7,8,7,8,8.0,A,"Продукты, проверка идей и здравый смысл в маркетинге. Густой концентрат практики без инфошума."
15,XII. Маркетплейсы и e-commerce,Владлен Строкань | Wildbox,@vladlen_strokan,https://t.me/vladlen_strokan,Владлен Строкань,≈29 тыс.,8,9,8,9,7,6,7,7.9,B,"SEO и реклама на WB, аналитика ниш, инструменты. Максимум практики по Wildberries."
16,V. Контент-маркетинг и копирайтинг,Дмитрий Кот и его Маркетинг Продающий,@marketingforever,https://t.me/marketingforever,Дмитрий Кот,≈6.1 тыс.,9,8,9,6,6,7,8,7.9,B,"Продающие тексты, работа с возражениями, директ-маркетинг. Классика жанра."
17,X. Аналитика и исследования,Яндекс про аналитику,@YAN_analytic,https://t.me/YAN_analytic,Яндекс,н/д,8,8,7,8,7,9,8,7.9,B,Как считать эффект рекламы в экосистеме Яндекса: официальные методики.
18,VIII. Product и growth-маркетинг,Product Science,@product_science,https://t.me/product_science,Антон Марцен,н/д,9,8,8,6,6,8,8,7.8,B,"Метрики, аналитика, исследования пользователей, data-driven решения."
19,III. SMM и соцсети,Саша Чижов,@blogsmm,https://t.me/blogsmm,Александр Чижов,≈45 тыс.,8,8,8,8,7,7,8,7.8,B,"Продвижение бизнеса и жизнь агентства, сторителлинг, нейросети. Живые комменты."
20,XIII. Медиа и базы знаний,СберМаркетинг,@sbermarketing,https://t.me/sbermarketing,СберМаркетинг,≈190 тыс.,8,7,7,9,10,6,8,7.8,B,Тренды и исследования от маркетинга гиганта: как это выглядит в масштабе корпорации.
21,VIII. Product и growth-маркетинг,SETTERS,@setters,https://t.me/setters,агентство Setters,≈60 тыс.,8,7,8,8,9,6,8,7.7,B,"Коммуникационные кейсы агентства (МегаФон и др.), правила выживания маркетолога."
22,V. Контент-маркетинг и копирайтинг,Молянов,@molyanov,https://t.me/molyanov,Павел Молянов,≈16 тыс.,8,8,8,7,7,7,8,7.7,B,"Контент-маркетинг агентства «Сделаем»: руководства, продвижение контента, продажи."
23,"VII. CRM, email и retention",CRM⚡️CJM FM,@crmcjmfm,https://t.me/crmcjmfm,Даша Гуща,н/д,8,8,8,7,6,7,8,7.6,B,"CRM-коммуникации и CJM: сценарии, триггеры, жизненный цикл клиента."
24,V. Контент-маркетинг и копирайтинг,Павликов опять что-то написал,@potok_ads,https://t.me/potok_ads,Алексей Павликов,≈36 тыс.,8,8,8,8,7,6,7,7.6,B,Как работает маркетинг «на уровне атомов»: разборы текстов и рекламных объявлений.
25,"II. Перформанс: контекст, таргет, трафик",Полина Бондарева | Контекстная реклама,@pbondareva,https://t.me/pbondareva,Полина Бондарева,н/д,8,8,8,8,5,7,8,7.6,B,"Живой директолог: разборы кабинетов, ошибки настроек, актуальные фичи Директа."
26,XIII. Медиа и базы знаний,Sostav,@sostav,https://t.me/sostav,редакция Sostav,≈55 тыс.,8,6,7,10,9,6,8,7.5,B,"Отраслевое медиа №1: новости рекламы, маркетинга и PR, факты и цифры рынка."
27,I. Общий маркетинг и стратегия,WTF with SERVICE?!,@wtfwithservice,https://t.me/wtfwithservice,Илья Чадин (dthink!),≈3.0 тыс.,8,8,8,6,5,8,8,7.5,B,"Как исследование клиентов меняет продукт, сервис и маркетинг. Редкий фокус на ЦА."
28,V. Контент-маркетинг и копирайтинг,Бегин про блоги,@inclient,https://t.me/inclient,Алексей Бегин,≈2.0 тыс.,8,8,8,6,5,8,8,7.5,B,"Статьи, продвижение и монетизация текстовых блогов + авторские исследования соцсетей."
29,"II. Перформанс: контекст, таргет, трафик",Громов о контексте,@ya_gromov,https://t.me/ya_gromov,Дмитрий Громов,≈4.0 тыс.,8,8,8,7,6,7,7,7.5,B,"Эксперт Яндекса: CPA-стратегии, автотаргетинг, чек-листы по кампаниям."
30,"II. Перформанс: контекст, таргет, трафик",Интернет-аналитика,@internetanalytics,https://t.me/internetanalytics,—,≈35 тыс.,8,8,7,8,7,6,7,7.5,B,"Как считать эффект кампаний: Метрика, GA, разметка, отчёты."
31,"IV. Креатив, кейсы и тренды",Креатив со звездочкой,@creativestar,https://t.me/creativestar,—,≈136 тыс.,7,7,8,9,8,6,8,7.5,B,Креативы и кампании со звёздами: что сработало и почему.
32,"IV. Креатив, кейсы и тренды",лидер мнений среди удобрений,@ludobreniya,https://t.me/ludobreniya,—,≈153 тыс.,7,7,8,8,9,6,8,7.5,B,"Ироничный разбор брендов, рекламы и нейминга. Насмотренность + юмор."
33,I. Общий маркетинг и стратегия,Телеграмма от Максима Юрина,@yumaks,https://t.me/yumaks,Максим Юрин,≈40 тыс.,8,7,8,7,7,7,8,7.5,B,"Практик агентства и fashion-бренда: личный бренд, инфлюенсеры, честные эксперименты."
34,XII. Маркетплейсы и e-commerce,Max / Продвижение на Wildberries,@maxprowb,https://t.me/maxprowb,Максим Попов,≈12 тыс.,8,8,8,8,6,5,7,7.4,B,"Ранжирование карточек, реклама, аналитика WB — по шагам."
35,VI. Брендинг и дизайн,The Content is The Queen,@thecontentisthequeen,https://t.me/thecontentisthequeen,Линор Горалик,≈23 тыс.,8,7,9,6,6,7,8,7.4,B,Глубокие нестандартные разборы старых и новых кампаний больших брендов.
36,"VII. CRM, email и retention",V — значит Value,@vforvalue,https://t.me/vforvalue,Виктор Крылов,н/д,8,8,8,7,5,7,7,7.4,B,"Ценность для клиента в CRM-маркетинге: методички, примеры, метрики."
37,"II. Перформанс: контекст, таргет, трафик",Горячев про Директ,@goryachiy_spros,https://t.me/goryachiy_spros,—,н/д,8,8,8,7,5,7,7,7.4,B,"Практика Директа: кейсы, настройки, свежие изменения интерфейса."
38,"II. Перформанс: контекст, таргет, трафик",Константин Горбунов про контекст,@k_gorbunov,https://t.me/k_gorbunov,Константин Горбунов,н/д,8,8,8,7,5,7,7,7.4,B,"Контекст без воды: методички, эксперименты, опыт больших бюджетов."
39,IX. SEO,Лайфхаки по SEO,@altblogru,https://t.me/altblogru,Кирилл Рамирас,≈4.9 тыс.,8,8,7,7,6,7,7,7.4,B,"Лайфхаки SEO, разборы апдейтов и алгоритмов."
40,XI. PR и коммуникации,Надо было вчера,@nadobulovchera,https://t.me/nadobulovchera,Настя Семенова,≈20 тыс.,8,7,8,7,6,7,8,7.4,B,"Креативные интеграции, PR-кейсы и нестандартная реклама."
41,V. Контент-маркетинг и копирайтинг,Паша и его прокрастинация,@abbsol,https://t.me/abbsol,Павел Фёдоров,≈34 тыс.,8,7,8,7,7,6,8,7.4,B,"Редактура, книги, исследования о текстах и работе с ними."
42,VIII. Product и growth-маркетинг,Игорь Кузнецов о тёмных паттернах,@brainshare,https://t.me/brainshare,Игорь Кузнецов,н/д,8,7,8,5,6,8,8,7.3,B,"Тёмные паттерны интерфейсов, этика маркетинга и behavioral design."
43,VIII. Product и growth-маркетинг,Индекс дятла,@dindex,https://t.me/dindex,—,н/д,8,7,8,6,6,8,7,7.3,B,"Запуск и развитие продуктов, поиск ценности, рост — концентрат практики."
44,VI. Брендинг и дизайн,Кириллица.дизайн,@cyrillicdesign,https://t.me/cyrillicdesign,—,≈36 тыс.,7,7,8,8,7,6,8,7.3,B,"Визуальный язык русских брендов: айдентика, типографика, упаковка."
45,X. Аналитика и исследования,Не AБы какие тесты,@abba_testing,https://t.me/abba_testing,—,н/д,8,8,8,6,4,8,7,7.3,B,"A/B-тесты: методология, ошибки интерпретации, кейсы."
46,XIII. Медиа и базы знаний,Постмаркетинг,@pstmarketing,https://t.me/pstmarketing,—,≈64 тыс.,7,7,8,8,7,6,8,7.3,B,"Ритейл, бренды и кампании — с цифрами и контекстом."
47,IX. SEO,DrMax SEO,@drmaxseo,https://t.me/drmaxseo,DrMax,н/д,8,8,7,6,5,7,7,7.2,B,"Продвижение сайтов, интернет-магазинов и маркетплейсов: методичные гайды."
48,IX. SEO,Product SEO,@m0r9un,https://t.me/m0r9un,Владислав Моргун,н/д,8,8,7,6,6,7,7,7.2,B,"Поисковая оптимизация как часть продукта (SEO ЛУН, Flatfy)."
49,I. Общий маркетинг и стратегия,Гусаров маркетинг,@gusarovby,https://t.me/gusarovby,Андрей Гусаров,≈28 тыс.,7,8,7,8,6,7,7,7.2,B,"Воронки, прогревы, нейросети в продажах. Конкретные схемы, мало воды."
50,V. Контент-маркетинг и копирайтинг,Инструменты редактора,@writingtools,https://t.me/writingtools,—,≈12 тыс.,7,8,7,7,6,7,8,7.2,B,"Сервисы, шаблоны и процессы для авторов и редакторов."
51,"IV. Креатив, кейсы и тренды",Красный маркетинг Гиязова,@aaaredmarketing,https://t.me/aaaredmarketing,Алексей Гиязов,≈320 тыс.,7,6,7,9,10,5,8,7.2,B,"Маркетинг изнутри большого банка: закулисье кампаний, статистика, тренды."
52,V. Контент-маркетинг и копирайтинг,Осознанный маркетинг • Нина,@ginger_content,https://t.me/ginger_content,Нина Прокопишина,≈3.6 тыс.,7,8,8,7,5,7,8,7.2,B,"Сторителлинг, контентные воронки, работа с ЦА автора блога."
53,X. Аналитика и исследования,Потребительское поведение,@c_behavior,https://t.me/c_behavior,—,≈5.3 тыс.,8,7,8,6,5,8,7,7.2,B,"Исследования потребительского поведения в России и мире, кратко и к месту. Фундамент инсайтов."
54,I. Общий маркетинг и стратегия,Русский маркетинг,@smmrus,https://t.me/smmrus,Семён Ефимов и команда,≈125 тыс.,7,7,6,9,8,6,8,7.2,B,Дайджест digital-новостей с авторскими комментариями. Заменяет мониторинг десятка каналов.
55,"II. Перформанс: контекст, таргет, трафик",Сергей Лаптев | Контекст PRO,@laptev_kontekst,https://t.me/laptev_kontekst,Сергей Лаптев,н/д,8,8,8,6,4,7,7,7.2,B,"PRO-уровень контекста: ставки, семантика, автоматизация рутины."
56,VI. Брендинг и дизайн,Тимофей Белоглазов — маркетинг или жизнь,@tbeloglazov,https://t.me/tbeloglazov,Тимофей Белоглазов,≈2.1 тыс.,8,7,8,5,5,8,8,7.2,B,"Мировые кейсы брендинга, нейминг, факты о поведении потребителей."
57,X. Аналитика и исследования,Модель атрибуции,@marketing_analysis,https://t.me/marketing_analysis,—,н/д,8,8,7,5,4,8,7,7.1,B,Атрибуция и измерение маркетинга — сложное объяснено понятно.
58,V. Контент-маркетинг и копирайтинг,Чипсанов | Контент-маркетинг,@chipsanov,https://t.me/chipsanov,—,н/д,7,8,8,6,5,7,7,7.1,B,"Контент-маркетинг системно: стратегия, редакция, метрики контента."
59,XI. PR и коммуникации,Aslanov PR,@aslanovPR,https://t.me/aslanovPR,Тимур Асланов,≈8.4 тыс.,8,7,7,6,6,6,7,7.0,B,"Пиар, работа с негативом, укрепление бренда компании."
60,III. SMM и соцсети,SMM с Дамиром Халиловым,@damirkhalilov,https://t.me/damirkhalilov,Дамир Халилов,≈25 тыс.,8,7,7,7,6,6,7,7.0,B,"Гендиректор GreenPR: инструменты, литература, генерация идей для контента."
61,XIII. Медиа и базы знаний,vc.ru,@vcnews,https://t.me/vcnews,редакция vc.ru,н/д,7,6,6,10,9,6,7,7.0,B,"Бизнес, технологии и маркетинг: большой поток кейсов и дискуссий в комментах."
62,I. Общий маркетинг и стратегия,Александр Львов,@boringmarketer,https://t.me/boringmarketer,Александр Львов,≈8.5 тыс.,7,8,7,7,5,7,7,7.0,B,"Спокойный авторский блог: анализ конкурентов, тесты Telegram Ads, отчёты без прикрас."
63,"IV. Креатив, кейсы и тренды",бумеры смотрят телек,@boomers_TV,https://t.me/boomers_TV,—,≈149 тыс.,6,6,7,9,9,6,8,7.0,B,"Реклама и медиа глазами наблюдательных: кейсы, провалы, тренды."
64,I. Общий маркетинг и стратегия,Двухметровый маркетинг,@marketing2meters,https://t.me/marketing2meters,Илья Ниженко,≈30 тыс.,7,7,7,7,6,7,8,7.0,B,Удачные и провальные решения брендов + новости. Прокачивает насмотренность.
65,I. Общий маркетинг и стратегия,Зубастый маркетолог,@marketolog_digital,https://t.me/marketolog_digital,—,≈60 тыс.,7,7,7,8,7,6,7,7.0,B,"Маркетинг по нишам: инфобизнес, медицина, HoReCa, edtech. Полезно для b2c-кейсов."
66,"IV. Креатив, кейсы и тренды",кабачковая икра по акции,@sale_caviar,https://t.me/sale_caviar,—,≈192 тыс.,6,6,7,10,9,6,8,7.0,B,"Главные новости медиа, соцсетей и маркетплейсов — кратко. Информационная гигиена."
67,VI. Брендинг и дизайн,Креатив в квадрате,@creative_sq,https://t.me/creative_sq,—,≈45 тыс.,7,7,7,8,7,6,7,7.0,B,Креативы из digital и классической рекламы с комментариями.
68,III. SMM и соцсети,Один день SMM-щика,@postanovich_smm,https://t.me/postanovich_smm,Александр Постанович,≈11 тыс.,7,7,8,6,5,7,8,7.0,B,Будни SMM-щика с юмором + рабочие наработки и инструменты.
69,XII. Маркетплейсы и e-commerce,Рыжий М.,@redmilliard,https://t.me/redmilliard,Антон Ланцов,≈28 тыс.,7,7,7,8,7,6,7,7.0,B,"Бизнес на Ozon, WB и Я.Маркете: фулфилмент, статистика, экономика."
70,III. SMM и соцсети,Семейка ботов,@FamilyBots,https://t.me/FamilyBots,—,≈507 тыс.,6,6,7,10,9,5,8,7.0,B,"Апдейты Telegram и Instagram* первыми: функции, боты, разборы. Экономит часы мониторинга."
71,"II. Перформанс: контекст, таргет, трафик",Галина Землянухина | Контекстная реклама,@socialkontekst,https://t.me/socialkontekst,Галина Землянухина,н/д,7,8,7,7,4,7,7,6.9,C,Контекст для e-com и соцсетей: связка Директ + ретаргет.
72,V. Контент-маркетинг и копирайтинг,"Ля, какой текст",@what_the_text,https://t.me/what_the_text,Таня Швецова,≈3.3 тыс.,7,7,8,6,4,7,8,6.9,C,Хорошие и плохие тексты с разборами коммерческого редактора.
73,"IV. Креатив, кейсы и тренды",Что вы мне рекламируете?,@honestmarketing,https://t.me/honestmarketing,Макс Корольков,≈17 тыс.,7,7,8,6,5,7,7,6.9,C,Разборы рекламы: что нам продают и какими приёмами. Крепкая критика креативов.
74,"II. Перформанс: контекст, таргет, трафик",Gutnik Oleg · Digital Marketing,@websstudio,https://t.me/websstudio,Олег Гутник,≈32 тыс.,7,7,7,8,7,5,6,6.8,C,"Таргет и продвижение TG-каналов: практика, ошибки, инструменты."
75,"VII. CRM, email и retention",Hard Client,@hardclient,https://t.me/hardclient,—,н/д,7,7,8,6,4,7,7,6.8,C,"Работа с клиентами в digital: сложные кейсы, сервис, удержание."
76,III. SMM и соцсети,Instagram-щик,@instagram_shik,https://t.me/instagram_shik,Илья Миндибеков,≈27 тыс.,7,7,7,8,6,5,7,6.8,C,"Сценарии Reels, лимиты, реклама в Instagram* от владельца SMM-агентства."
77,IX. SEO,SEO inside,@seo_inside,https://t.me/seo_inside,Вячеслав Вареня,≈2.2 тыс.,7,7,7,7,5,7,7,6.8,C,SEO-инсайды: что реально работает после апдейтов.
78,"VII. CRM, email и retention",Менеджерская,@r_email,https://t.me/r_email,Настя Цильке,н/д,7,8,7,6,4,7,7,6.8,C,Менеджмент в маркетинге + практики email-коммуникаций.
79,I. Общий маркетинг и стратегия,Фадеевщина,@ffadru,https://t.me/ffadru,Михаил Фадеев,≈23 тыс.,7,7,7,7,6,6,7,6.8,C,"Заметки владельца агентства полного цикла: продвижение бизнеса, типовые ошибки клиентов."
80,VIII. Product и growth-маркетинг,Growth Marketing Insights,@growthmrkt,https://t.me/growthmrkt,—,н/д,7,7,7,6,5,7,7,6.7,C,"Growth-подходы: эксперименты, каналы роста, кейсы."
81,XI. PR и коммуникации,Local Talent | Marketing and PR,@local_talent_marketing,https://t.me/local_talent_marketing,—,н/д,7,7,7,6,5,7,7,6.7,C,"Маркетинг и PR на международных рынках: стратегии, кейсы, карьера."
82,"II. Перформанс: контекст, таргет, трафик",Выкручиваем конверсии воронок,@nmiacm,https://t.me/nmiacm,Никита Корытин,≈40 тыс.,7,7,7,8,6,5,6,6.7,C,"Воронки и холодный трафик: кейсы с цифрами выручки, разборы механик."
83,XIII. Медиа и базы знаний,Книжная полка маркетолога,@Knizhnaya_polka_marketologa,https://t.me/Knizhnaya_polka_marketologa,—,≈50 тыс.,6,7,7,7,7,6,7,6.7,C,"Выжимки книг по маркетингу, психологии потребителя и продуктам."
84,III. SMM и соцсети,Полина pro reels,@polinarule,https://t.me/polinarule,Полина,≈17 тыс.,7,7,7,7,5,6,7,6.7,C,"Всё про Reels: съёмка, монтаж, охваты, монетизация видео."
85,XI. PR и коммуникации,Радиорубка Лихачёва,@niketasfm,https://t.me/niketasfm,Никита Лихачёв,≈7.0 тыс.,7,6,7,7,6,7,7,6.7,C,"Реклама, соцсети и медиа из первых рук (VK, экс-TJ)."
86,V. Контент-маркетинг и копирайтинг,Что почитать редактору,@redaktoru,https://t.me/redaktoru,Игорь Горшеев,≈16 тыс.,6,7,6,9,6,7,7,6.7,C,Ежедневная подборка статей из 69 источников — готовая лента чтения для редактора.
87,XIII. Медиа и базы знаний,Cossa,@cossaru,https://t.me/cossaru,редакция Cossa,≈10 тыс.,7,6,6,8,7,5,7,6.6,C,"Интернет-маркетинг и цифровые трансформации: статьи, кейсы, колонки экспертов."
88,IX. SEO,SEOшница,@seoschnitsa,https://t.me/seoschnitsa,—,≈3.8 тыс.,7,7,7,6,4,7,7,6.6,C,"SEO глазами практика: кейсы, инструменты, будни оптимизатора."
89,III. SMM и соцсети,Tochno_artem про SMM,@tochno_artem,https://t.me/tochno_artem,Артём Пыхтеев,≈6.4 тыс.,7,7,7,6,5,6,7,6.6,C,Директор SMM.school: фишки соцсетей и упаковка экспертов.
90,XII. Маркетплейсы и e-commerce,Анастасия не только PRO маркетплейсы,@aapavlusha,https://t.me/aapavlusha,Анастасия Павлова,≈9.5 тыс.,7,7,7,7,5,5,7,6.6,C,"Сравнение маркетплейсов глазами селлера: калькуляторы, шаблоны, инструкции."
91,"VII. CRM, email и retention",Денис Марфутин,@marfutin77,https://t.me/marfutin77,Денис Марфутин,н/д,7,7,7,6,4,7,7,6.6,C,CRM-маркетинг и автоматизация коммуникаций.
92,"VII. CRM, email и retention",Кебстер из маркетинга,@marketingkebster,https://t.me/marketingkebster,—,н/д,7,7,7,6,4,7,7,6.6,C,"Живой CRM-блог: кейсы ритейла, лояльность, письма."
93,"IV. Креатив, кейсы и тренды",Марзаганов вещает,@marzaganoff,https://t.me/marzaganoff,—,≈100 тыс.,6,6,6,9,8,6,7,6.6,C,"Медиатренды, соцсети, исследования — оперативно и с контекстом."
94,XII. Маркетплейсы и e-commerce,Основатель mkeeper,@mkeeper,https://t.me/mkeeper,Михаил Золотов,≈9.4 тыс.,7,7,7,6,5,6,7,6.6,C,"Продвижение товаров на маркетплейсах: алгоритмы, кейсы, сервисы."
95,"VII. CRM, email и retention",Почему не используешь?,@pochemyneispolzuesh,https://t.me/pochemyneispolzuesh,Максим Шагдаров,н/д,7,7,7,6,4,7,7,6.6,C,"Онбординг, активация и удержание: почему пользователи уходят и что с этим делать."
96,"IV. Креатив, кейсы и тренды",Зашкваркетинг,@dankmarketing,https://t.me/dankmarketing,—,≈67 тыс.,6,6,7,8,7,6,7,6.5,C,Мемный маркетинг: как бренды говорят на языке аудитории и где перегибают.
97,"IV. Креатив, кейсы и тренды",Партизанский Маркетинг,@GuerrillaMarketing,https://t.me/GuerrillaMarketing,—,≈102 тыс.,6,6,6,8,8,6,7,6.5,C,Партизанские приёмы и нестандартные ходы в продвижении.
98,VI. Брендинг и дизайн,Breaking Trends,@breakingtrends,https://t.me/breakingtrends,—,≈36 тыс.,5,6,6,9,7,6,7,6.3,C,"Вирусные кампании, ребрендинги, ИИ в маркетинге — быстро и наглядно."
99,"II. Перформанс: контекст, таргет, трафик",Гуру трафика,@komyso,https://t.me/komyso,Виталий Комысов,≈11 тыс.,6,7,6,7,5,5,6,6.1,C,"Трафик и лидогенерация: кейсы, тренды, обучение — больше для новичков."
100,III. SMM и соцсети,Элеонора Маркетинг,@eleonora_marketing,https://t.me/eleonora_marketing,Элеонора Тюрина,≈16 тыс.,6,6,6,7,5,5,6,5.9,D,"Продажи в соцсетях на кейсах ниш: косметология, подарки, онлайн-образование."
